"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200501","2005 January","1","Milk (per litre), actual fat and protein","Euro","0.308"
"AJM07","Manufacturing Milk Prices (including VAT)","200501","2005 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","200502","2005 February","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","200502","2005 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.281"
"AJM07","Manufacturing Milk Prices (including VAT)","200503","2005 March","1","Milk (per litre), actual fat and protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","200503","2005 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","200504","2005 April","1","Milk (per litre), actual fat and protein","Euro","0.267"
"AJM07","Manufacturing Milk Prices (including VAT)","200504","2005 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.268"
"AJM07","Manufacturing Milk Prices (including VAT)","200505","2005 May","1","Milk (per litre), actual fat and protein","Euro","0.265"
"AJM07","Manufacturing Milk Prices (including VAT)","200505","2005 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.268"
"AJM07","Manufacturing Milk Prices (including VAT)","200506","2005 June","1","Milk (per litre), actual fat and protein","Euro","0.262"
"AJM07","Manufacturing Milk Prices (including VAT)","200506","2005 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.266"
"AJM07","Manufacturing Milk Prices (including VAT)","200507","2005 July","1","Milk (per litre), actual fat and protein","Euro","0.262"
"AJM07","Manufacturing Milk Prices (including VAT)","200507","2005 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","200508","2005 August","1","Milk (per litre), actual fat and protein","Euro","0.269"
