"STATISTIC","Statistic Label","TLIST(M1)","Month","C02156V02599","Domestic or Import Source","UNIT","VALUE"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197501","1975 January","01","Domestic","Million Litres","55.8"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197501","1975 January","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197502","1975 February","01","Domestic","Million Litres","84.4"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197502","1975 February","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197503","1975 March","01","Domestic","Million Litres","193.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197503","1975 March","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197504","1975 April","01","Domestic","Million Litres","327.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197504","1975 April","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197505","1975 May","01","Domestic","Million Litres","493.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197505","1975 May","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197506","1975 June","01","Domestic","Million Litres","494.4"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197506","1975 June","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197507","1975 July","01","Domestic","Million Litres","445.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197507","1975 July","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197508","1975 August","01","Domestic","Million Litres","411.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197508","1975 August","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197509","1975 September","01","Domestic","Million Litres","310.8"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197509","1975 September","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197510","1975 October","01","Domestic","Million Litres","216.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197510","1975 October","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197511","1975 November","01","Domestic","Million Litres","110.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197511","1975 November","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197512","1975 December","01","Domestic","Million Litres","68.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197512","1975 December","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197601","1976 January","01","Domestic","Million Litres","65.4"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197601","1976 January","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197602","1976 February","01","Domestic","Million Litres","102.7"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197602","1976 February","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197603","1976 March","01","Domestic","Million Litres","222.8"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197603","1976 March","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197604","1976 April","01","Domestic","Million Litres","388.4"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197604","1976 April","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197605","1976 May","01","Domestic","Million Litres","550.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197605","1976 May","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197606","1976 June","01","Domestic","Million Litres","541.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197606","1976 June","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197607","1976 July","01","Domestic","Million Litres","496.9"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197607","1976 July","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197608","1976 August","01","Domestic","Million Litres","433.8"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197608","1976 August","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197609","1976 September","01","Domestic","Million Litres","307.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197609","1976 September","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197610","1976 October","01","Domestic","Million Litres","213.9"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197610","1976 October","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197611","1976 November","01","Domestic","Million Litres","114.1"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197611","1976 November","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197612","1976 December","01","Domestic","Million Litres","67.1"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197612","1976 December","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197701","1977 January","01","Domestic","Million Litres","66.7"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197701","1977 January","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197702","1977 February","01","Domestic","Million Litres","113.7"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197702","1977 February","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197703","1977 March","01","Domestic","Million Litres","236.9"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197703","1977 March","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197704","1977 April","01","Domestic","Million Litres","399.8"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197704","1977 April","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197705","1977 May","01","Domestic","Million Litres","567.1"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197705","1977 May","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197706","1977 June","01","Domestic","Million Litres","581.6"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197706","1977 June","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197707","1977 July","01","Domestic","Million Litres","535.4"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197707","1977 July","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197708","1977 August","01","Domestic","Million Litres","458.9"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197708","1977 August","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197709","1977 September","01","Domestic","Million Litres","361.5"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197709","1977 September","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197710","1977 October","01","Domestic","Million Litres","273.7"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197710","1977 October","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197711","1977 November","01","Domestic","Million Litres","133.2"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197711","1977 November","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197712","1977 December","01","Domestic","Million Litres","81"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197712","1977 December","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197801","1978 January","01","Domestic","Million Litres","86.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197801","1978 January","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197802","1978 February","01","Domestic","Million Litres","139.2"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197802","1978 February","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197803","1978 March","01","Domestic","Million Litres","289.2"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197803","1978 March","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197804","1978 April","01","Domestic","Million Litres","459.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197804","1978 April","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197805","1978 May","01","Domestic","Million Litres","640.2"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197805","1978 May","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197806","1978 June","01","Domestic","Million Litres","637"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197806","1978 June","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197807","1978 July","01","Domestic","Million Litres","582.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197807","1978 July","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197808","1978 August","01","Domestic","Million Litres","516.2"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197808","1978 August","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197809","1978 September","01","Domestic","Million Litres","436.2"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197809","1978 September","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197810","1978 October","01","Domestic","Million Litres","320.6"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197810","1978 October","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197811","1978 November","01","Domestic","Million Litres","167.1"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197811","1978 November","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197812","1978 December","01","Domestic","Million Litres","89.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197812","1978 December","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197901","1979 January","01","Domestic","Million Litres","96.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197901","1979 January","02","Import","Million Litres",""
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197902","1979 February","01","Domestic","Million Litres","168.3"
"AKM01C1","Intake of Cows Milk by Creameries and Pasteurisers","197902","1979 February","02","Import","Million Litres",""
