date,type,category,index
01/09/2022,output,all_agricultural_outputs,159.8407956
01/09/2022,output,crop_products,171.5420752
01/09/2022,output,cereals,220.1024008
01/09/2022,output,wheat,221.9970232
01/09/2022,output,wheat_feeding,225.938048
01/09/2022,output,wheat_breadmaking,214.1406968
01/09/2022,output,wheat_other_milling,216.5330032
01/09/2022,output,barley,217.5918525
01/09/2022,output,barley_feeding,223.8119587
01/09/2022,output,barley_malting,212.1901611
01/09/2022,output,oats,197.5478886
01/09/2022,output,oats_milling,201.3840057
01/09/2022,output,oats_feeding,212.2160312
01/09/2022,output,potatoes,138.1868325
01/09/2022,output,industrial_crops,169.9629246
01/09/2022,output,oilseed_rape_non_set_aside,210.3167312
01/09/2022,output,sugar_beet,104.7964029
01/09/2022,output,forage_plants,131.3595491
01/09/2022,output,straw,131.3595491
01/09/2022,output,fresh_vegetables,166.1888499
01/09/2022,output,cauliflowers,228.9497839
01/09/2022,output,tomatoes,99.96372957
01/09/2022,output,cabbages,183.0825987
01/09/2022,output,lettuce,187.3535989
01/09/2022,output,carrots,148.9835623
01/09/2022,output,onions,177.9462003
01/09/2022,output,beans_green,231.6290139
01/09/2022,output,mushrooms,95.12748465
01/09/2022,output,fresh_fruit,161.4011664
01/09/2022,output,dessert_apples,187.5814713
01/09/2022,output,cooking_apples,257.0426145
01/09/2022,output,dessert_pears,218.8483187
01/09/2022,output,strawberries,196.6326983
01/09/2022,output,raspberries,82.78429501
01/09/2022,output,flowers_and_plants,111.456508
01/09/2022,output,other_crop_products,100
01/09/2022,output,animals_and_animal_products,152.0071783
01/09/2022,output,animals_for_slaughter_export,131.3153112
01/09/2022,output,cattle_and_calves,134.4709215
01/09/2022,output,cattle_clean,130.5762631
01/09/2022,output,cows_and_bulls,158.4713313
01/09/2022,output,calves,67.29096458
01/09/2022,output,pigs,152.3877642
01/09/2022,output,pigs_clean,152.0911734
01/09/2022,output,sows_and_boars,165.2680179
01/09/2022,output,sheep_and_lambs,135.4700135
01/09/2022,output,sheep_and_lambs_clean,138.7593394
01/09/2022,output,ewes_and_rams,109.2200527
01/09/2022,output,all_poultry,112.9788679
01/09/2022,output,chickens,112.0831043
01/09/2022,output,turkeys,120.6959524
01/09/2022,output,animal_products,184.1870779
01/09/2022,output,milk,199.4731065
01/09/2022,output,eggs,106.7160242
01/09/2022,output,intensive_eggs,112.0889036
01/09/2022,output,free_range_eggs,103.1488016
01/09/2022,output,wool_clip,42.82352941
01/09/2022,input,all_agricultural_inputs,166.6513288
01/09/2022,input,all_goods_and_services_currently_consumed_in_agriculture,173.546037
01/09/2022,input,seeds_input,123.7598606
01/09/2022,input,energy_and_lubricants,201.8275179
01/09/2022,input,electricity,204.0771289
01/09/2022,input,fuels_for_heating,188.2
01/09/2022,input,motor_fuels,202.9585015
01/09/2022,input,fertilisers_and_soil_improvers,299.0450105
01/09/2022,input,straight_fertilisers,312.5973638
01/09/2022,input,straight_fertilisers_nitrogenous,314.8176807
01/09/2022,input,straight_fertilisers_phosphatic,291.4109131
01/09/2022,input,straight_fertilisers_potassic,295.4135314
01/09/2022,input,compound_fertilisers,296.791454
01/09/2022,input,other_fertilisers_and_soil_improvers,142.8
01/09/2022,input,plant_protection_products,162.0282411
01/09/2022,input,fungicides,159.7855228
01/09/2022,input,insecticides,152.6746087
01/09/2022,input,herbicides,178.1417801
01/09/2022,input,other_plant_protection_products,118.5890258
01/09/2022,input,veterinary_services,118.2160689
01/09/2022,input,animal_feedingstuffs,179.852766
01/09/2022,input,straight_feedingstuffs,185.9040365
01/09/2022,input,cereal_and_milling_by_products,225.8105592
01/09/2022,input,feed_wheat,226.0283112
01/09/2022,input,feed_barley,224.486993
01/09/2022,input,feed_oats,212.65355
01/09/2022,input,oilcakes,170.5731748
01/09/2022,input,soya_bean_meal,171.3212796
01/09/2022,input,sunflower_seed_meal,96.98000851
01/09/2022,input,rape_seed_meal,184.9215123
01/09/2022,input,products_of_animal_origin_incl_white_fish_meal,132.4074074
01/09/2022,input,other_straights,176.592273
01/09/2022,input,field_peas,178.5686092
01/09/2022,input,field_beans,174.680326
01/09/2022,input,soya_beans,228.0388192
01/09/2022,input,compound_feedingstuffs,177.0908598
01/09/2022,input,compound_feedingstuffs_for_cattle_and_calves,173.5633122
01/09/2022,input,compound_feedingstuffs_for_pigs,170.1867115
01/09/2022,input,compound_feedingstuffs_for_poultry,182.7622878
