,tweets,stopwords,upper
3366508409,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Because farmers voted Conservative en masse ergo you supported Johnsons Brexit hence this Simples,2,0
1275219963775778816,waltjack71 mikegalsworthy sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday A good majority approx 58 of UK farmers voted for Brexit which will ensure NZ can stuff UK shops with their lamb Perhaps those UK supermarkets are just preparing their customers for when only NZ lamb is available as British farms have all gone bust httpstcocgj306phve,18,6
48992513,BrexitReality PostBrexit 1000 farming payments too little too late says NFU httpstco1O8tnMCwBb,2,1
1246437728679530496,"More BrexitLies 
Scheme supposed to replace EU subsidies paid to just 224 farmers
Basic payments also been cut by 20 a loss of  thousands a year to many small farmers which can make the difference between profitability and falling further into debt
httpstcoSVwOgWnVsg",16,1
918196050384556037,Just 224 farmers were paid under postBrexit farming scheme last year httpstcomKIBlPUbQg,2,0
282726796,ConsPost At last a Brexit benefit Its only been 7 years but well worth waiting for and goes to prove the farmers werent wrong to vote leave,9,0
471442833,NicholasTyrone If Im not wrong most farmers are voted for Brexit,4,0
1121430738686160896,waltjack71 William27136245 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Because the toxic tories sold out our farmers the same way the sold out our fishermen wih false promises brexit never worked and never will,10,0
144158861,"Farmers mostly voted for Brexit but now miss all that EU money 

httpstcoIgOwxrCFnV",5,1
799375162072240128,"So basically the new funding is doing nothing Brexit is destroying industries up and down this country

httpstcoRAj9XsbR7Z",8,0
170835152,"john4brexit Market access is a growth driver John No one will invest here with such a logistical social and political mess Despite the fact we provide chickens to 11 KFCs in Mongolia 

This is the best Brexit can offer  

httpstcoTheMGLzRnV",15,0
996874375583412224,"Just 224 farmers in England were paid last year under the governments flagship post Brexit naturefriendly agriculture scheme the sustainable farming incentive SFI part of the Torys plan to replace EU farming subsidies
httpstco3xoKbqaDCX",8,2
1211023046946877440,PostBrexit 1000 farming payments too little too late says NFUBoris got Brexit  Done   that included the farmers  httpstcoadM0I03V29,4,0
1046423957900066816,ConsPost Farmers have been doing that since before Brexit,5,0
41316531,Were only seeing the negative UK farmers on Brexit and losing the common agricultural policy httpstcoSDRQbgSMoF,5,1
111388931,"So basically the new funding is doing nothing Brexit is destroying industries up and down this country

httpstcodYBE2jDhwN",8,0
15609624,Tim Farron Liberal Democrat environment spokesperson said This once again shows that the Conservative government is letting down farmers While theyre slashing existing payments farmers simply arent getting what they deserve under the new system httpstcoJjYA520fKZ,10,0
16343974, The Government is to double payments to farmers to create hedgerows as it increases cash amid a slow takeup of its postBrexit green schemes httpstco5F9KIugmwW,9,0
320790659,EmilyKerr36 ORFC see also httpstco1ZPgLPVR2T,0,1
15805265,"Farmers get green Brexit dividend as ministers reveal 1000 payments
httpstcoAicDO1wPIJ
Farming Minister Mark Spencer announced up to 1000 extra cash for English farmers taking naturefriendly steps under the new sustainable farming incentive SFI",6,1
26203304,"ConsPost Are you sure doesnt look that way
httpstcoKqtJpI2qfb",2,0
129314630,NicholasTyrone Oh yes the EU farmers are thriving wonderfully The farming issues here in the EU amp US are down to the climate agenda not Brexit httpstcojeL737WdbK,10,3
2984158437,"Wow just gaze upon those sunlit uplands of Brexshit 

Just 224 farmers were paid under postBrexit farming scheme last year httpstcogVbHG8BFzL",5,0
846037320667217921,"Latest update from the sunlit uplands 

Just 224 farmers in England were paid under the governments flagship postBrexit naturefriendly agriculture scheme last year
httpstco7J9vtbPwe5",6,0
943102333017362437,"The Guardian Just 224 farmers paid under postBrexit farming scheme last year
httpstcozh3xoIzj1N",1,0
1427523688509976589,"frankiecullen18 NicholasTyrone Only some farmers did  Welsh Scots and Northern English farmers  whom depended more on their smaller EU subsidies were largely against Brexit

Part of the successful campaign of lies Leave told in campaign led folks to still believe farmers want Brexit It isnt true",14,1
213245607,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoLNpxm5NnT9,2,0
990802033,UK boosts payments for farmers after low uptake of postBrexit scheme httpstcomDj6zkInkJ  sourceeditor ,3,1
48378139,BREXIT BENEFIT UK farmers who protect and enhance the environment to receive increased payments httpstcoRxwceReNJG via Conservative Post,4,3
1497954762377113608,I find it really difficult to get excised about this mist farmers supported brexit as did the NFU httpstcor66tnKSIZJ,7,2
125339572,Good news httpstcoJijauzZpfG,0,0
558745993,UK boosts payments for farmers after low uptake of postBrexit scheme httpstco0uMhGFdmjw,3,1
1029988421127864320,"MattyMusgrove Burnside2Donald Haggis_UK Thanks for your reply Theres too much to unwrap there so just one more question

When businesses exporters farmers etc said brexit would cause extra red tape not less what made you believe the Leave campaigners over them",14,0
1424269521637019649,Brexit Farmers ELMS  httpstcovsvvjnroT3,0,1
1300757570785808390,"NicholasTyrone Please do NOT buy any British produced farm products if possible 
Farmers fucked us all up by voting Brexit give them their deserved payback",8,1
2474884325,Just 224 farmers were paid under postBrexit farming scheme last year  Farming  The Guardian httpstcoBTuI2AHYQM,2,0
1271084812296761344,Just 224 farmers were paid under postBrexit farming scheme last year httpstcoT8STI5BtN9,2,0
469609765,JohnGiles1871  promarinternat1 keynotespeaker on beefday BCBC2023 will give an insight to the soft fruit industry what lessons there might be for livestock farmers amp opportunities post Brexit amp post Covid Book now amp join us httpstcoot9f9E0fBT beinspired teambeef httpstcoyr91JAQqxV,10,1
1164249687987298304,ConsPost Meanwhile in the real world httpstcolu1hE1v3yF,2,0
568349106,Just 224 farmers paid under Englands postBrexit farming scheme last year httpstcohzQJMhfbq7,1,0
1328270801410404353,On ELMs we havent seen the full picture amp we dont know where we sit in the jigsaw No1FarmerJake reflecting the lack of info nevermind low no of farmers actually paid under new schemes as per report today Adds up to worrying lack of progress postBrexit on food security,17,0
19441006,"acgrayling RT NicholasTyrone 2016 When Britain leaves the EU farming subsides will be ringfenced In fact we can increase the payments given we will no longer be paying into EU budgets

2023 Basic payments to farmers slashed by 20 postBrexit c httpstco7T4imzGRbA",13,3
2741929095,"Farmers are to receive additional payments of up to 1k a year for protecting nature amp the environment as the government changes postBrexit subsidies to agriculture
The increased payments will come under the environmental land management schemes Elms
httpstcoLT38Fsb6aD",14,0
445452143,"brexit monger trussliz did the deal that undermines uk sheep farmers and brexit monger BorisJohnson did the oven ready deal that leaves no import checks at our border but huge checks exporting 

maybe stop voting Conservatives  httpstcof2AnqK5e8H",11,0
141029510,waltjack71 sainsburys Tesco 1GarethWynJones FarmersWeekly FarmersGuardian scottishfarmer NFUtweets natsheep BBCNEandCumbria FarmingUK TheFarmingForum BBCFarmingToday Well done all the farmers who voted for Brexitenjoy even more cheaper produce from the other side of the globe regardless of food standards,11,0
1562510325949181952,Farmers to be paid double for planting hedgerows to boost postBrexit green schemes httpstco1ytAWrT4Rp,4,0
1372618887624331265,BREXIT BENEFIT UK farmers who protect and enhance the environment to receive increased payments httpstcoz2zwIiC8A3 via Conservative Post,4,3
995443722,"PostBrexit 1000 farming payments too little too late says NFU Environmental cash incentives part of government scheme to replace EU common agricultural policy
httpstco70XGgbAKFX",4,2
238767225,Top story PostBrexit 1000 farming payments too little too late says NFU  Farming  The Guardian httpstcoPIQDkrXCyn see more httpstcoraV8oebHB1,3,1
1377364789,"RT LibDems RT HelenMorganMP British farmers are yet again being failed by a Conservative Government

Lots of farmers in North Shropshire are struggling to keep their businesses alive but are being deprived of the money they are entitled to

Our fa httpstcoBzM4RgHoQI",18,2
3087491573,"Brexit broke Britain

BrexitBrokeBritain BrexitShambles ToryCostOfGreedCrisis Brexitrecession  
BrexitWasTreasonRejoinEU
ToriesOut182 GeneralElection NHSOnLifeSupport 

httpstco15FXuye3aF",0,0
969533361634017282,"RT LibDems RT HelenMorganMP British farmers are yet again being failed by a Conservative Government

Lots of farmers in North Shropshire are struggling to keep their businesses alive but are being deprived of the money they are entitled to

Our fa httpstcow4ghXok1ey",18,2
1416036389754376194,"horton_official fionaharvey reported how only 224 farmers were paid under the postBrexit SFI
 
cleanenergyprojects can alleviate some of the financial stress farmers face by providing secure longterm revenue in parallel with traditional practices

httpstco6K8yKWFpv1",12,1
