,tweets
799375162072240128,"So basically, the new funding is doing nothing. Brexit is destroying industries up and down this country.

https://t.co/RAj9XsbR7Z"
170835152,"@john4brexit Market access is a growth driver, John. No one will invest here with such a logistical, social, and political mess. Despite the fact we provide chickens to 11 KFCs in Mongolia. 

This is the best Brexit can offer 😂 

https://t.co/TheMGLzRnV"
996874375583412224,"Just 224 #farmers in England were paid last year under the government’s flagship post #Brexit nature-friendly agriculture scheme, the sustainable farming incentive (SFI), part of the Tory's plan to replace EU farming subsidies.
https://t.co/3xoKbqaDCX"
1211023046946877440,"Post-Brexit £1,000 farming payments ‘too little, too late’, says NFU-Boris got Brexit ‘ Done ‘ - that included the farmers  https://t.co/adM0I03V29"
1046423957900066816,@ConsPost Farmers have been doing that since before Brexit
41316531,‘We’re only seeing the negative’: UK farmers on Brexit and losing the common agricultural policy https://t.co/SDRQbgSMoF
111388931,"So basically, the new funding is doing nothing. Brexit is destroying industries up and down this country.

https://t.co/dYBE2jDhwN"
15609624,"Tim Farron, Liberal Democrat environment spokesperson, said: “This once again shows that the Conservative government is letting down farmers. While they’re slashing existing payments, farmers simply aren’t getting what they deserve under the new system.” https://t.co/JjYA520fKZ"
16343974,🚜 The Government is to double payments to farmers to create hedgerows as it increases cash amid a slow take-up of its post-Brexit green schemes https://t.co/5F9KIugmwW
320790659,@EmilyKerr36 @ORFC see also https://t.co/1ZPgLPVR2T
15805265,"Farmers get green Brexit dividend as ministers reveal £1,000 payments
https://t.co/AicDO1wPIJ
Farming Minister Mark Spencer announced up to £1,000 extra cash for English farmers taking nature-friendly steps under the new 'sustainable farming incentive' (SFI)."
26203304,"@ConsPost Are you sure, doesn't look that way
https://t.co/KqtJpI2qfb"
129314630,"@NicholasTyrone Oh yes the EU farmers are thriving wonderfully. The farming issues, here, in the EU &amp; US are down to the climate agenda, not Brexit! 🤦‍♀️https://t.co/jeL737WdbK"
2984158437,"Wow, just gaze upon those sunlit uplands of Brexshit! 

Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/gVbHG8BFzL"
846037320667217921,"🚨☀️Latest update from the sunlit uplands: 

Just 224 farmers in England were paid under the government’s flagship post-Brexit nature-friendly agriculture scheme last year.
https://t.co/7J9vtbPwe5"
943102333017362437,"The Guardian: Just 224 farmers paid under post-Brexit farming scheme last year.
https://t.co/zh3xoIzj1N"
1427523688509976589,"@frankiecullen18 @NicholasTyrone Only some farmers did.  Welsh, Scots and Northern English farmers - whom depended more on their smaller EU subsidies were largely against Brexit.

Part of the successful campaign of lies Leave told in campaign led folks to (still) believe ""farmers want Brexit"". It isn't true."
213245607,Just 224 farmers were paid under post-Brexit farming scheme last year https://t.co/LNpxm5NnT9
990802033,UK boosts payments for farmers after low uptake of post-Brexit scheme https://t.co/mDj6zkInkJ - source/editor :
