"Production and use of milk by time and unit"

" ","Milk ex farm, total (m kg)","Delivered milk to dairies (m kg)","Delivered organic milk to dairies (m kg)","Avarage fat content of delivered milk to the dairies (percent)","Avarage protein content of delivered milk to dairies (percent)","Milk ex farm, total (DK øre per kg)"
"1995M01",379.27,362.57,..,4.53,3.49,254.35
"1995M02",343.06,326.36,..,4.48,3.43,250.47
"1995M03",386.57,369.97,..,4.50,3.40,249.84
"1995M04",400.38,383.78,..,4.48,3.38,248.50
"1995M05",429.01,412.31,..,4.30,3.38,243.28
"1995M06",405.55,388.85,..,4.22,3.40,241.75
"1995M07",411.74,395.04,..,4.12,3.33,236.09
"1995M08",401.58,384.88,..,4.09,3.28,233.20
"1995M09",383.90,367.30,..,4.22,3.39,241.33
"1995M10",387.38,370.78,..,4.37,3.48,247.11
"1995M11",367.18,350.48,..,4.46,3.54,249.06
"1995M12",376.89,360.19,..,4.49,3.49,247.84
"1996M01",377.20,360.50,..,4.47,3.44,252.18
"1996M02",351.50,334.80,..,4.45,3.42,250.99
"1996M03",385.20,368.60,..,4.46,3.40,250.55
"1996M04",401.45,384.85,..,4.38,3.34,246.77
"1996M05",423.75,407.05,..,4.31,3.31,243.96
"1996M06",410.53,393.83,8.20,4.16,3.37,242.22
"1996M07",415.72,399.02,11.40,4.17,3.39,243.16
"1996M08",407.36,390.66,11.30,4.14,3.34,240.68
"1996M09",386.68,370.08,10.60,4.25,3.45,247.24
"1996M10",386.03,369.43,10.50,4.43,3.54,250.90
"1996M11",368.31,351.61,10.10,4.49,3.55,252.74
"1996M12",380.90,364.20,10.60,4.54,3.54,253.67
"1997M01",381.50,364.80,10.70,4.55,3.52,253.44
"1997M02",342.10,325.40,9.70,4.48,3.45,249.37
"1997M03",373.40,356.80,10.90,4.45,3.42,247.58
"1997M04",389.20,372.60,11.00,4.42,3.40,245.41
"1997M05",418.60,401.90,12.30,4.33,3.39,245.78
"1997M06",405.60,388.90,12.30,4.20,3.39,244.49
"1997M07",405.30,388.60,12.30,4.15,3.34,241.51
"1997M08",395.60,378.90,12.10,4.11,3.31,239.47
"1997M09",379.90,363.30,11.50,4.24,3.44,247.21
"1997M10",384.10,367.50,11.50,4.41,3.55,253.30
"1997M11",368.90,352.20,11.00,4.51,3.56,256.26
"1997M12",387.60,370.90,11.80,4.49,3.50,253.68
"1998M01",390.90,374.20,12.10,4.45,3.45,250.94
"1998M02",351.70,335.00,10.90,4.44,3.42,249.65
"1998M03",388.20,371.60,11.00,4.44,3.42,249.65
