"Production and use of milk by time and unit"

" ","Delivered milk to dairies (m kg)","Avarage fat content of delivered milk to the dairies (percent)","Avarage protein content of delivered milk to dairies (percent)"
"1995M01",362.57,4.53,3.49
"1995M02",326.36,4.48,3.43
"1995M03",369.97,4.50,3.40
"1995M04",383.78,4.48,3.38
"1995M05",412.31,4.30,3.38
"1995M06",388.85,4.22,3.40
"1995M07",395.04,4.12,3.33
"1995M08",384.88,4.09,3.28
"1995M09",367.30,4.22,3.39
"1995M10",370.78,4.37,3.48
"1995M11",350.48,4.46,3.54
"1995M12",360.19,4.49,3.49
"1996M01",360.50,4.47,3.44
"1996M02",334.80,4.45,3.42
"1996M03",368.60,4.46,3.40
"1996M04",384.85,4.38,3.34
"1996M05",407.05,4.31,3.31
"1996M06",393.83,4.16,3.37
"1996M07",399.02,4.17,3.39
"1996M08",390.66,4.14,3.34
"1996M09",370.08,4.25,3.45
"1996M10",369.43,4.43,3.54
"1996M11",351.61,4.49,3.55
"1996M12",364.20,4.54,3.54
"1997M01",364.80,4.55,3.52
"1997M02",325.40,4.48,3.45
"1997M03",356.80,4.45,3.42
"1997M04",372.60,4.42,3.40
"1997M05",401.90,4.33,3.39
"1997M06",388.90,4.20,3.39
"1997M07",388.60,4.15,3.34
"1997M08",378.90,4.11,3.31
"1997M09",363.30,4.24,3.44
"1997M10",367.50,4.41,3.55
"1997M11",352.20,4.51,3.56
"1997M12",370.90,4.49,3.50
"1998M01",374.20,4.45,3.45
"1998M02",335.00,4.44,3.42
"1998M03",371.60,4.44,3.42
"1998M04",378.80,4.43,3.39
"1998M05",404.70,4.30,3.37
"1998M06",383.60,4.20,3.38
"1998M07",387.30,4.17,3.38
"1998M08",385.50,4.18,3.41
"1998M09",367.70,4.28,3.47
"1998M10",365.80,4.44,3.53
"1998M11",348.10,4.52,3.53
"1998M12",365.30,4.49,3.49
"1999M01",371.00,4.41,3.43
"1999M02",334.70,4.44,3.43
"1999M03",373.40,4.42,3.41
"1999M04",375.80,4.38,3.36
"1999M05",402.80,4.28,3.36
"1999M06",386.70,4.21,3.37
"1999M07",386.20,4.14,3.31
"1999M08",382.40,4.14,3.34
"1999M09",364.30,4.22,3.42
"1999M10",363.40,4.38,3.49
"1999M11",349.80,4.43,3.53
"1999M12",364.70,4.45,3.47
"2000M01",374.50,4.40,3.43
"2000M02",351.70,4.38,3.38
"2000M03",379.10,4.39,3.39
"2000M04",382.70,4.33,3.37
"2000M05",408.20,4.22,3.37
"2000M06",387.30,4.14,3.37
"2000M07",393.20,4.10,3.36
"2000M08",385.90,4.13,3.39
"2000M09",364.70,4.24,3.48
"2000M10",369.60,4.34,3.51
"2000M11",353.40,4.36,3.50
"2000M12",369.50,4.38,3.46
"2001M01",369.00,4.43,3.41
"2001M02",328.60,4.40,3.39
"2001M03",360.60,4.45,3.42
"2001M04",369.70,4.38,3.37
"2001M05",398.90,4.27,3.34
"2001M06",386.40,4.19,3.35
"2001M07",390.20,4.14,3.32
"2001M08",382.10,4.15,3.34
"2001M09",358.70,4.28,3.45
"2001M10",359.70,4.38,3.51
"2001M11",347.80,4.45,3.51
"2001M12",366.20,4.45,3.49
"2002M01",376.40,4.42,3.44
"2002M02",342.70,4.34,3.38
"2002M03",377.20,4.35,3.40
"2002M04",376.80,4.34,3.37
"2002M05",398.70,4.22,3.34
"2002M06",380.50,4.11,3.30
"2002M07",382.30,4.07,3.31
"2002M08",374.70,4.05,3.30
"2002M09",358.40,4.18,3.41
"2002M10",359.70,4.44,3.54
"2002M11",351.90,4.50,3.54
"2002M12",375.20,4.46,3.50
"2003M01",385.00,4.44,3.45
"2003M02",348.90,4.42,3.42
"2003M03",387.50,4.40,3.38
"2003M04",386.20,4.33,3.35
"2003M05",406.90,4.25,3.33
"2003M06",387.60,4.11,3.31
"2003M07",387.60,4.08,3.31
"2003M08",384.40,4.06,3.32
"2003M09",367.90,4.21,3.42
"2003M10",369.60,4.41,3.54
"2003M11",355.10,4.47,3.54
"2003M12",373.40,4.40,3.47
"2004M01",374.00,4.42,3.45
"2004M02",349.30,4.35,3.43
"2004M03",365.50,4.40,3.42
"2004M04",371.80,4.33,3.39
"2004M05",391.60,4.24,3.36
"2004M06",374.20,4.19,3.37
"2004M07",381.28,4.17,3.37
"2004M08",377.80,4.13,3.36
"2004M09",361.60,4.25,3.45
"2004M10",361.80,4.39,3.53
"2004M11",352.10,4.43,3.51
"2004M12",372.90,4.40,3.49
"2005M01",381.40,4.36,3.45
"2005M02",342.30,4.38,3.45
"2005M03",382.40,4.40,3.43
"2005M04",379.40,4.32,3.40
"2005M05",397.70,4.23,3.37
