,date,milk,fat,pro,month
185,2012-01-01,415.6,4.33,3.49,January
186,2012-02-01,388.6,4.37,3.51,February
187,2012-03-01,411.2,4.3,3.46,March
188,2012-04-01,414.6,4.28,3.46,April
189,2012-05-01,437.2,4.2,3.41,May
190,2012-06-01,424.8,4.14,3.39,June
191,2012-07-01,432.2,4.12,3.4,July
192,2012-08-01,420.9,4.16,3.42,August
193,2012-09-01,391.6,4.28,3.51,September
194,2012-10-01,394.6,4.37,3.56,October
195,2012-11-01,382.6,4.39,3.57,November
196,2012-12-01,401.8,4.4,3.56,December
197,2013-01-01,415.1,4.33,3.49,January
198,2013-02-01,379.3,4.34,3.49,February
199,2013-03-01,419.2,4.35,3.51,March
200,2013-04-01,416.4,4.3,3.47,April
201,2013-05-01,444.3,4.17,3.4,May
202,2013-06-01,430.8,4.11,3.37,June
203,2013-07-01,440.4,4.11,3.37,July
204,2013-08-01,433.8,4.13,3.41,August
205,2013-09-01,407.5,4.25,3.51,September
206,2013-10-01,413.9,4.34,3.58,October
207,2013-11-01,400.6,4.36,3.6,November
208,2013-12-01,424.1,4.33,3.58,December
209,2014-01-01,432.52,4.32,3.54,January
210,2014-02-01,391.52,4.29,3.53,February
211,2014-03-01,437.46,4.24,3.5,March
212,2014-04-01,434.96,4.22,3.49,April
213,2014-05-01,457.1,4.13,3.46,May
214,2014-06-01,440.85,4.07,3.44,June
215,2014-07-01,447.2,4.05,3.4,July
216,2014-08-01,439.7,4.1,3.42,August
217,2014-09-01,410.0,4.21,3.51,September
218,2014-10-01,410.88,4.25,3.54,October
219,2014-11-01,395.3,4.31,3.56,November
220,2014-12-01,414.28,4.34,3.57,December
221,2015-01-01,424.2,4.3,3.53,January
222,2015-02-01,385.8,4.31,3.53,February
223,2015-03-01,431.9,4.27,3.53,March
224,2015-04-01,434.1,4.24,3.51,April
225,2015-05-01,460.6,4.15,3.46,May
226,2015-06-01,453.4,4.11,3.44,June
227,2015-07-01,469.3,4.09,3.41,July
228,2015-08-01,462.3,4.11,3.44,August
229,2015-09-01,435.7,4.2,3.52,September
230,2015-10-01,440.8,4.32,3.6,October
231,2015-11-01,427.8,4.34,3.58,November
232,2015-12-01,451.7,4.48,3.55,December
233,2016-01-01,455.0,4.44,3.57,January
234,2016-02-01,432.0,4.41,3.54,February
235,2016-03-01,464.82,4.42,3.54,March
236,2016-04-01,453.99,4.39,3.53,April
237,2016-05-01,475.71,4.29,3.49,May
238,2016-06-01,459.39,4.16,3.41,June
239,2016-07-01,467.0,4.17,3.43,July
240,2016-08-01,458.0,4.22,3.46,August
241,2016-09-01,427.36,4.26,3.52,September
242,2016-10-01,428.88,4.42,3.64,October
