,date,milk,fat,pro,year,month
445,2012-01-01,133.3,3.98,3.25,2012,January
446,2012-02-01,236.6,4.06,3.24,2012,February
447,2012-03-01,473.0,3.99,3.22,2012,March
448,2012-04-01,637.3,3.81,3.32,2012,April
449,2012-05-01,735.0,3.75,3.34,2012,May
450,2012-06-01,684.3,3.76,3.33,2012,June
451,2012-07-01,609.8,3.85,3.25,2012,July
452,2012-08-01,546.8,3.94,3.34,2012,August
453,2012-09-01,446.6,4.13,3.53,2012,September
454,2012-10-01,364.2,4.34,3.72,2012,October
455,2012-11-01,227.6,4.38,3.61,2012,November
456,2012-12-01,138.0,4.14,3.37,2012,December
457,2013-01-01,125.5,4.0,3.26,2013,January
458,2013-02-01,222.9,4.03,3.25,2013,February
459,2013-03-01,468.1,3.97,3.18,2013,March
460,2013-04-01,568.7,3.86,3.19,2013,April
461,2013-05-01,733.2,3.66,3.32,2013,May
462,2013-06-01,700.9,3.71,3.36,2013,June
463,2013-07-01,652.7,3.73,3.31,2013,July
464,2013-08-01,592.7,3.92,3.39,2013,August
465,2013-09-01,498.5,4.16,3.62,2013,September
466,2013-10-01,418.3,4.4,3.77,2013,October
467,2013-11-01,276.4,4.48,3.72,2013,November
468,2013-12-01,164.8,4.26,3.47,2013,December
469,2014-01-01,132.0,4.11,3.3,2014,January
470,2014-02-01,214.0,4.11,3.28,2014,February
471,2014-03-01,470.7,4.08,3.2,2014,March
472,2014-04-01,697.0,3.87,3.3,2014,April
473,2014-05-01,785.5,3.75,3.35,2014,May
474,2014-06-01,732.4,3.73,3.35,2014,June
475,2014-07-01,688.0,3.82,3.37,2014,July
476,2014-08-01,608.2,3.97,3.48,2014,August
477,2014-09-01,519.2,4.17,3.67,2014,September
478,2014-10-01,426.3,4.49,3.85,2014,October
479,2014-11-01,237.7,4.55,3.72,2014,November
480,2014-12-01,137.6,4.25,3.43,2014,December
481,2015-01-01,114.8,4.11,3.27,2015,January
482,2015-02-01,215.1,4.15,3.3,2015,February
483,2015-03-01,454.0,4.06,3.21,2015,March
484,2015-04-01,784.3,3.82,3.35,2015,April
485,2015-05-01,875.1,3.78,3.45,2015,May
486,2015-06-01,819.2,3.8,3.45,2015,June
487,2015-07-01,768.9,3.93,3.43,2015,July
488,2015-08-01,693.9,4.04,3.54,2015,August
489,2015-09-01,604.2,4.24,3.74,2015,September
490,2015-10-01,536.3,4.43,3.89,2015,October
491,2015-11-01,347.9,4.6,3.76,2015,November
492,2015-12-01,181.6,4.37,3.48,2015,December
493,2016-01-01,147.6,4.17,3.32,2016,January
494,2016-02-01,287.1,4.24,3.31,2016,February
495,2016-03-01,594.6,4.15,3.22,2016,March
496,2016-04-01,760.8,4.0,3.27,2016,April
497,2016-05-01,926.6,3.81,3.38,2016,May
498,2016-06-01,853.2,3.85,3.37,2016,June
499,2016-07-01,782.5,3.93,3.4,2016,July
500,2016-08-01,699.3,4.08,3.49,2016,August
501,2016-09-01,583.8,4.33,3.69,2016,September
502,2016-10-01,500.1,4.54,3.88,2016,October
503,2016-11-01,337.1,4.68,3.84,2016,November
504,2016-12-01,178.3,4.4,3.53,2016,December
505,2017-01-01,148.7,4.15,3.34,2017,January
506,2017-02-01,272.9,4.22,3.35,2017,February
507,2017-03-01,620.9,4.14,3.23,2017,March
508,2017-04-01,866.3,3.9,3.36,2017,April
509,2017-05-01,999.6,3.8,3.41,2017,May
510,2017-06-01,917.9,3.86,3.4,2017,June
511,2017-07-01,875.3,3.9,3.42,2017,July
512,2017-08-01,786.6,4.08,3.54,2017,August
