"","Intake of Cows Milk by Creameries and Pasteurisers","Fat Content","Protein Content"
"Source: Central Statistics Office, Ireland."
"1975 January","55.8","n/a","n/a"
"1975 February","84.4","n/a","n/a"
"1975 March","193.3","n/a","n/a"
"1975 April","327.5","n/a","n/a"
"1975 May","493.5","n/a","n/a"
"1975 June","494.4","n/a","n/a"
"1975 July","445.3","n/a","n/a"
"1975 August","411.5","n/a","n/a"
"1975 September","310.8","n/a","n/a"
"1975 October","216.5","n/a","n/a"
"1975 November","110.5","n/a","n/a"
"1975 December","68.5","n/a","n/a"
"1976 January","65.4","n/a","n/a"
"1976 February","102.7","n/a","n/a"
"1976 March","222.8","n/a","n/a"
"1976 April","388.4","n/a","n/a"
"1976 May","550.5","n/a","n/a"
"1976 June","541.5","n/a","n/a"
"1976 July","496.9","n/a","n/a"
"1976 August","433.8","n/a","n/a"
"1976 September","307.3","n/a","n/a"
"1976 October","213.9","n/a","n/a"
"1976 November","114.1","n/a","n/a"
"1976 December","67.1","n/a","n/a"
"1977 January","66.7","n/a","n/a"
"1977 February","113.7","n/a","n/a"
"1977 March","236.9","n/a","n/a"
"1977 April","399.8","n/a","n/a"
"1977 May","567.1","n/a","n/a"
"1977 June","581.6","n/a","n/a"
"1977 July","535.4","n/a","n/a"
"1977 August","458.9","n/a","n/a"
"1977 September","361.5","n/a","n/a"
"1977 October","273.7","n/a","n/a"
"1977 November","133.2","n/a","n/a"
"1977 December","81","n/a","n/a"
"1978 January","86.3","n/a","n/a"
"1978 February","139.2","n/a","n/a"
"1978 March","289.2","n/a","n/a"
"1978 April","459.3","n/a","n/a"
"1978 May","640.2","n/a","n/a"
"1978 June","637","n/a","n/a"
"1978 July","582.3","n/a","n/a"
"1978 August","516.2","n/a","n/a"
"1978 September","436.2","n/a","n/a"
"1978 October","320.6","n/a","n/a"
"1978 November","167.1","n/a","n/a"
"1978 December","89.3","n/a","n/a"
"1979 January","96.3","n/a","n/a"
"1979 February","168.3","n/a","n/a"
"1979 March","327.7","n/a","n/a"
"1979 April","462.5","n/a","n/a"
"1979 May","660.3","n/a","n/a"
"1979 June","659.7","n/a","n/a"
"1979 July","625.1","n/a","n/a"
"1979 August","526.9","n/a","n/a"
"1979 September","430","n/a","n/a"
"1979 October","304.5","n/a","n/a"
"1979 November","135.4","n/a","n/a"
"1979 December","81.4","n/a","n/a"
"1980 January","94.5","3.71","3.15"
"1980 February","169.1","3.51","3.16"
"1980 March","319.8","3.4","2.92"
"1980 April","506.7","3.3","3.03"
"1980 May","690.6","3.28","3.17"
"1980 June","655.2","3.36","3.12"
"1980 July","605.7","3.44","3.09"
"1980 August","516.7","3.53","3.17"
"1980 September","402.6","3.74","3.4"
"1980 October","261.7","4.02","3.65"
"1980 November","114","4.07","3.76"
"1980 December","81.5","3.81","3.34"
"1981 January","90.9","3.6","3.1"
"1981 February","165.7","3.48","3.2"
"1981 March","338.3","3.39","2.9"
"1981 April","536.5","3.32","3.15"
"1981 May","669.7","3.33","3.24"
"1981 June","621.3","3.38","3.24"
"1981 July","599.1","3.41","3.25"
"1981 August","518.4","3.5","3.25"
"1981 September","383.5","3.76","3.56"
"1981 October","258.8","4.06","3.86"
"1981 November","127","4.11","3.94"
"1981 December","85","3.8","3.72"
"1982 January","101.8","3.62","3.27"
"1982 February","190.5","3.46","3.12"
"1982 March","362.4","3.36","3.03"
"1982 April","553","3.29","3.09"
"1982 May","721","3.31","3.34"
"1982 June","682.9","3.37","3.34"
"1982 July","626.5","3.42","3.3"
"1982 August","544.8","3.52","3.29"
"1982 September","437","3.75","3.41"
"1982 October","309.3","4.02","3.72"
"1982 November","164","4.12","4.04"
"1982 December","111.9","3.81","3.69"
"1983 January","137.9","3.61","3.3"
"1983 February","230.7","3.52","3.1"
"1983 March","422.1","3.4","2.93"
"1983 April","597.8","3.35","3.06"
"1983 May","749.6","3.34","3.21"
"1983 June","727.1","3.37","3.29"
"1983 July","664.2","3.4","3.2"
"1983 August","553.9","3.51","3.19"
"1983 September","457.1","3.79","3.55"
"1983 October","335.2","4.04","3.71"
"1983 November","182.9","4.13","3.94"
"1983 December","127.7","3.84","3.66"
"1984 January","158.2","3.66","3.32"
"1984 February","266.2","3.53","3.05"
"1984 March","458.5","3.39","2.89"
"1984 April","621","3.33","3.07"
"1984 May","814.3","3.3","3.27"
"1984 June","754.2","3.39","3.22"
"1984 July","674.7","3.43","3.17"
"1984 August","579.6","3.41","3.26"
"1984 September","445.8","3.8","3.48"
"1984 October","337.2","4.03","3.73"
"1984 November","180.4","4.07","3.92"
"1984 December","132.8","3.81","3.7"
"1985 January","164.3","3.69","3.39"
"1985 February","270.6","3.59","3.15"
"1985 March","462.6","3.48","2.99"
"1985 April","646.8","3.42","3.02"
"1985 May","818.6","3.38","3.23"
"1985 June","767.8","3.42","3.22"
"1985 July","708.9","3.49","3.2"
"1985 August","598.3","3.62","3.32"
"1985 September","453","3.81","3.45"
"1985 October","333.7","4.01","3.68"
"1985 November","173.9","4.03","3.89"
"1985 December","119.8","3.74","3.54"
"1986 January","148.1","3.62","3.21"
