,date,milk,fat,pro,butter,cheese,powder tot,powder who,powder skim,con,whey,year,month
208,2012-01-01,1023015.0,4.48,3.57,12917.0,65821.0,18948.0,11954.0,6994.0,29767.0,.,2012,january
209,2012-02-01,944916.0,4.59,3.6,12386.0,61730.0,14905.0,9372.0,5533.0,30523.0,.,2012,february
210,2012-03-01,1037702.0,4.46,3.53,13818.0,66103.0,17169.0,11442.0,5728.0,27959.0,.,2012,march
211,2012-04-01,998315.0,4.43,3.52,11894.0,63307.0,16903.0,10860.0,6043.0,32211.0,.,2012,april
212,2012-05-01,1024366.0,4.32,3.47,14113.0,65235.0,16033.0,10082.0,5951.0,31201.0,.,2012,may
213,2012-06-01,984161.0,4.25,3.45,10485.0,61677.0,13781.0,8793.0,4988.0,30204.0,.,2012,june
214,2012-07-01,976527.0,4.2,3.43,10531.0,63889.0,15704.0,10070.0,5634.0,31472.0,.,2012,july
215,2012-08-01,948758.0,4.21,3.44,9228.0,62941.0,14555.0,8936.0,5619.0,31853.0,.,2012,august
216,2012-09-01,907765.0,4.32,3.52,8083.0,61398.0,13101.0,8461.0,4640.0,30030.0,.,2012,september
217,2012-10-01,931754.0,4.49,3.6,8493.0,64164.0,14056.0,9712.0,4344.0,32547.0,.,2012,october
218,2012-11-01,914765.0,4.53,3.61,8000.0,61758.0,14405.0,9608.0,4796.0,30794.0,.,2012,november
219,2012-12-01,983403.0,4.54,3.6,13338.0,66136.0,17407.0,11848.0,5560.0,32713.0,.,2012,december
220,2013-01-01,1021883.0,4.51,3.56,11292.0,67314.0,16385.0,11284.0,5101.0,31450.0,.,2013,january
221,2013-02-01,940192.0,4.54,3.57,10896.0,60698.0,14763.0,9623.0,5140.0,30999.0,.,2013,february
222,2013-03-01,1039943.0,4.56,3.57,13429.0,66749.0,17515.0,11711.0,5804.0,29381.0,.,2013,march
223,2013-04-01,1013705.0,4.5,3.53,13139.0,65792.0,15936.0,10209.0,5728.0,29476.0,.,2013,april
224,2013-05-01,1081899.0,4.34,3.49,12521.0,68310.0,17687.0,11926.0,5760.0,31923.0,.,2013,may
225,2013-06-01,1017690.0,4.27,3.46,10714.0,63832.0,15178.0,10393.0,4785.0,30304.0,.,2013,june
226,2013-07-01,1049763.0,4.18,3.42,9549.0,66942.0,16566.0,11133.0,5433.0,29662.0,.,2013,july
227,2013-08-01,1043246.0,4.17,3.42,11144.0,66674.0,15753.0,9305.0,6449.0,30510.0,.,2013,august
228,2013-09-01,986107.0,4.3,3.52,7821.0,64660.0,14638.0,10121.0,4517.0,26667.0,.,2013,september
229,2013-10-01,1011405.0,4.42,3.6,10476.0,69005.0,15673.0,9959.0,5714.0,26508.0,.,2013,october
230,2013-11-01,970148.0,4.5,3.61,9239.0,65495.0,14161.0,9267.0,4893.0,31696.0,.,2013,november
231,2013-12-01,1036711.0,4.51,3.59,13236.0,68046.0,19398.0,13360.0,6038.0,31774.0,.,2013,december
232,2014-01-01,1073921.0,4.46,3.54,13327.0,69003.0,17984.0,12407.0,5577.0,32336.0,.,2014,january
233,2014-02-01,980185.0,4.47,3.53,13394.0,61278.0,16334.0,10844.0,5490.0,31323.0,.,2014,february
234,2014-03-01,1084192.0,4.44,3.51,13854.0,66901.0,19168.0,12852.0,6316.0,28436.0,.,2014,march
235,2014-04-01,1081728.0,4.37,3.48,12708.0,65522.0,19108.0,13478.0,5631.0,32540.0,.,2014,april
236,2014-05-01,1094417.0,4.28,3.48,11907.0,67065.0,20131.0,13907.0,6223.0,32040.0,.,2014,may
237,2014-06-01,1045568.0,4.18,3.45,10433.0,62113.0,16928.0,11750.0,5178.0,34451.0,.,2014,june
238,2014-07-01,1051622.0,4.15,3.41,10733.0,67011.0,16150.0,10873.0,5277.0,33493.0,.,2014,july
239,2014-08-01,1036470.0,4.18,3.45,11152.0,63666.0,15226.0,9853.0,5373.0,30146.0,.,2014,august
240,2014-09-01,998215.0,4.26,3.54,9977.0,61261.0,14712.0,10351.0,4361.0,30431.0,.,2014,september
241,2014-10-01,1015984.0,4.36,3.57,9926.0,63883.0,14747.0,10200.0,4547.0,32987.0,.,2014,october
242,2014-11-01,977125.0,4.44,3.6,10386.0,60142.0,14767.0,10083.0,4684.0,30412.0,.,2014,november
243,2014-12-01,1033595.0,4.52,3.6,12727.0,64096.0,19506.0,13084.0,6423.0,33600.0,.,2014,december
244,2015-01-01,1051819.0,4.51,3.56,13036.0,67160.0,17233.0,10931.0,6303.0,29521.0,.,2015,january
245,2015-02-01,954307.0,4.52,3.55,11298.0,60462.0,13782.0,7823.0,5959.0,34251.0,.,2015,february
246,2015-03-01,1061825.0,4.49,3.49,11403.0,68661.0,16437.0,10662.0,5775.0,34581.0,.,2015,march
247,2015-04-01,1100420.0,4.42,3.53,12378.0,70249.0,16188.0,10363.0,5825.0,34794.0,.,2015,april
248,2015-05-01,1166526.0,4.28,3.51,13394.0,74202.0,18535.0,12240.0,6296.0,36949.0,.,2015,may
249,2015-06-01,1145600.0,4.24,3.5,11899.0,71069.0,17437.0,11568.0,5869.0,33047.0,.,2015,june
250,2015-07-01,1162176.0,4.17,3.43,12042.0,72938.0,18021.0,12383.0,5638.0,32875.0,.,2015,july
251,2015-08-01,1147059.0,4.21,3.46,12228.0,72736.0,17329.0,11964.0,5365.0,32728.0,.,2015,august
252,2015-09-01,1091193.0,4.34,3.54,9183.0,68927.0,16559.0,11930.0,4629.0,33082.0,.,2015,september
253,2015-10-01,1132078.0,4.45,3.63,12601.0,73688.0,17286.0,11465.0,5821.0,32368.0,.,2015,october
254,2015-11-01,1112571.0,4.48,3.6,12871.0,68927.0,16325.0,10583.0,5742.0,36947.0,.,2015,november
255,2015-12-01,1205300.0,4.47,3.57,15244.0,75953.0,19100.0,13749.0,5351.0,36632.0,.,2015,december
257,2016-01-01,1214745.0,4.51,3.57,16194.0,76327.0,20324.0,13400.0,6924.0,33365.0,.,2016,january
258,2016-02-01,1161335.0,4.53,3.57,15803.0,72494.0,19776.0,13376.0,6400.0,32509.0,.,2016,february
259,2016-03-01,1239907.0,4.55,3.59,16329.0,76771.0,19698.0,13713.0,5985.0,35752.0,.,2016,march
260,2016-04-01,1218592.0,4.47,3.54,14634.0,75641.0,21226.0,14906.0,6320.0,25866.0,.,2016,april
261,2016-05-01,1263123.0,4.35,3.5,14841.0,76351.0,22530.0,15306.0,7224.0,31111.0,.,2016,may
262,2016-06-01,1199718.0,4.24,3.43,13267.0,72355.0,19825.0,13659.0,6166.0,31214.0,.,2016,june
263,2016-07-01,1218901.0,4.19,3.45,12223.0,74256.0,20227.0,14294.0,5933.0,31099.0,.,2016,july
264,2016-08-01,1202383.0,4.22,3.45,12456.0,72496.0,19317.0,15115.0,4202.0,31551.0,.,2016,august
265,2016-09-01,1133945.0,4.22,3.47,8760.0,71192.0,16277.0,11262.0,5015.0,30656.0,.,2016,september
266,2016-10-01,1154341.0,4.44,3.61,12094.0,73593.0,15854.0,10532.0,5322.0,31570.0,.,2016,october
267,2016-11-01,1112734.0,4.55,3.67,12142.0,70735.0,18121.0,13370.0,4751.0,28779.0,.,2016,november
268,2016-12-01,1204713.0,4.58,3.65,12568.0,75601.0,22688.0,16726.0,5963.0,28748.0,.,2016,december
270,2017-01-01,1227142.0,4.54,3.61,14040.0,75698.0,21616.0,15530.0,6087.0,31904.0,.,2017,january
271,2017-02-01,1120509.0,4.52,3.6,12436.0,67995.0,20666.0,15250.0,5416.0,31709.0,.,2017,february
272,2017-03-01,1248567.0,4.45,3.56,12042.0,75738.0,21437.0,16091.0,5346.0,30312.0,.,2017,march
273,2017-04-01,1213514.0,4.4,3.56,13206.0,73058.0,23741.0,17908.0,5834.0,28788.0,.,2017,april
274,2017-05-01,1255665.0,4.29,3.54,12739.0,72978.0,23397.0,17768.0,5629.0,29018.0,.,2017,may
275,2017-06-01,1194276.0,4.17,3.45,12261.0,71097.0,18968.0,13698.0,5271.0,32052.0,.,2017,june
276,2017-07-01,1193233.0,4.17,3.45,10736.0,73431.0,19846.0,15730.0,4116.0,31558.0,.,2017,july
277,2017-08-01,1182404.0,4.2,3.5,11392.0,75783.0,16584.0,12536.0,4047.0,36233.0,.,2017,august
278,2017-09-01,1140773.0,4.31,3.57,9741.0,71290.0,19108.0,13873.0,5235.0,30021.0,.,2017,september
279,2017-10-01,1172601.0,4.39,3.6,13760.0,72403.0,20602.0,14718.0,5884.0,30085.0,.,2017,october
280,2017-11-01,1144448.0,4.47,3.65,12578.0,69905.0,21207.0,15149.0,6058.0,27617.0,.,2017,november
281,2017-12-01,1202801.0,4.51,3.65,14084.0,74863.0,22714.0,15896.0,6818.0,27687.0,.,2017,december
283,2018-01-01,1229448.0,4.47,3.6,13404.0,75269.0,23576.0,16354.0,7222.0,29280.0,.,2018,january
284,2018-02-01,1107347.0,4.53,3.62,13582.0,68214.0,21079.0,15431.0,5648.0,26969.0,.,2018,february
285,2018-03-01,1216670.0,4.54,3.62,14251.0,76889.0,21705.0,15538.0,6167.0,27248.0,.,2018,march
286,2018-04-01,1192997.0,4.4,3.54,13992.0,73710.0,20921.0,15073.0,5848.0,22761.0,.,2018,april
287,2018-05-01,1237622.0,4.26,3.49,14893.0,74740.0,20069.0,14533.0,5536.0,27467.0,.,2018,may
288,2018-06-01,1176346.0,4.11,3.44,11714.0,71338.0,19740.0,13622.0,6118.0,28487.0,.,2018,june
289,2018-07-01,1179544.0,4.14,3.43,12286.0,73373.0,19497.0,14268.0,5229.0,28530.0,.,2018,july
290,2018-08-01,1147894.0,4.17,3.43,11666.0,72946.0,14549.0,9940.0,4609.0,31216.0,.,2018,august
291,2018-09-01,1089150.0,4.31,3.56,10383.0,71963.0,17446.0,11908.0,5538.0,27444.0,.,2018,september
292,2018-10-01,1108842.0,4.41,3.63,12639.0,73524.0,15226.0,10541.0,4685.0,29448.0,.,2018,october
293,2018-11-01,1066585.0,4.53,3.68,11364.0,72311.0,14207.0,10778.0,3429.0,32935.0,.,2018,november
294,2018-12-01,1128475.0,4.54,3.64,13500.0,74630.0,18366.0,13394.0,4973.0,31512.0,.,2018,december
296,2019-01-01,1167785.0,4.53,3.62,11231.0,80401.0,19790.0,14272.0,5518.0,33356.0,.,2019,january
297,2019-02-01,1087913.0,4.53,3.6,11427.0,74780.0,17836.0,12266.0,5570.0,32639.0,.,2019,february
