"Milk supply and dairy production by dairy factories"
""
"";"Topic"
"";"Milk supply|Volume";"Milk supply|Fat content";"Milk supply|Protein content";"Dairy production|Butter";"Dairy production|Cheese";"Dairy production|Milk powder|Total Milk powder";"Dairy production|Milk powder|Whole milk powder";"Dairy production|Milk powder|Skimmed-milk powder";"Dairy production|Concentrated milk";"Dairy production|Whey powder"
"Periods";"1 000 kg";"%";"%";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"1995 January";"911676";"4.58";"3.54";"14380";"58071";"13205";"9250";"3955";"29397";"."
"1995 February";"837617";"4.52";"3.48";"12263";"53419";"10960";"8349";"2611";"28294";"."
"1995 March";"940083";"4.51";"3.46";"12699";"59799";"13828";"11085";"2743";"31102";"."
"1995 April";"935337";"4.50";"3.44";"12702";"57396";"14758";"12194";"2564";"30827";"."
"1995 May";"985108";"4.34";"3.45";"11979";"59326";"17883";"13531";"4352";"31917";"."
"1995 June";"922883";"4.26";"3.45";"10975";"54075";"16668";"13021";"3647";"31014";"."
"1995 July";"936758";"4.17";"3.39";"11343";"54376";"13783";"10269";"3514";"29876";"."
"1995 August";"910404";"4.14";"3.37";"9479";"55857";"11980";"9553";"2427";"29164";"."
"1995 September";"848166";"4.30";"3.46";"8811";"55537";"8994";"6833";"2161";"30014";"."
"1995 October";"869100";"4.39";"3.55";"8753";"59209";"9650";"8361";"1289";"27015";"."
"1995 November";"839265";"4.49";"3.59";"8610";"57990";"9297";"7986";"1311";"26884";"."
"1995 December";"874605";"4.62";"3.58";"10306";"57842";"12994";"11460";"1534";"27594";"."
"1995";"10811,000";"4.40";"3.48";"132300";"682900";"154000";"121900";"32100";"353100";"126700"
"1996 January";"869458";"4.64";"3.55";"11525";"58176";"11475";"9062";"2413";"27044";"."
"1996 February";"807070";"4.63";"3.52";"10806";"55043";"10269";"9136";"1133";"28139";"."
"1996 March";"855588";"4.58";"3.47";"11641";"58730";"10804";"9313";"1491";"28047";"."
"1996 April";"909093";"4.53";"3.41";"13313";"56472";"13946";"10960";"2986";"25782";"."
"1996 May";"967831";"4.42";"3.40";"14062";"58503";"17714";"13129";"4585";"28825";"."
"1996 June";"924381";"4.25";"3.42";"11242";"54673";"15345";"12001";"3344";"29727";"."
"1996 July";"952838";"4.19";"3.42";"12698";"55852";"17897";"12836";"5061";"26707";"."
"1996 August";"895069";"4.19";"3.40";"9472";"57550";"11753";"9568";"2185";"25326";"."
"1996 September";"833714";"4.30";"3.50";"6173";"58148";"9343";"8480";"863";"26214";"."
"1996 October";"854969";"4.42";"3.59";"7685";"61490";"10332";"9051";"1281";"27037";"."
"1996 November";"804639";"4.55";"3.57";"7881";"57263";"9304";"8554";"750";"26380";"."
"1996 December";"860551";"4.63";"3.55";"11002";"56200";"14219";"11455";"2764";"27873";"."
"1997 January";"885014";"4.65";"3.54";"13069";"59848";"12896";"10589";"2307";"28973";"."
"1997 February";"809713";"4.54";"3.47";"10860";"54369";"10108";"8612";"1496";"28359";"."
"1997 March";"891462";"4.46";"3.41";"11206";"60610";"11814";"10011";"1803";"26250";"."
"1997 April";"906444";"4.47";"3.41";"12447";"59642";"13612";"10988";"2624";"26627";"."
"1997 May";"945959";"4.38";"3.43";"12920";"60993";"17148";"12602";"4546";"29874";"."
"1997 June";"904808";"4.22";"3.40";"11700";"55671";"15714";"9994";"5720";"28620";"."
"1997 July";"893747";"4.17";"3.40";"12116";"56877";"15172";"8769";"6403";"27485";"."
"1997 August";"846786";"4.14";"3.36";"10316";"58009";"10269";"7191";"3078";"24652";"."
"1997 September";"818479";"4.24";"3.44";"8177";"58939";"8846";"6595";"2251";"26875";"."
"1997 October";"844190";"4.43";"3.56";"9002";"63175";"10169";"8074";"2095";"26737";"."
"1997 November";"819281";"4.60";"3.61";"9984";"58917";"10491";"8176";"2315";"27572";"."
"1997 December";"892618";"4.62";"3.56";"12704";"57051";"15062";"10169";"4893";"26877";"."
"1998 January";"914900";"4.54";"3.49";"14175";"59031";"15209";"10130";"5079";"26581";"."
"1998 February";"829400";"4.53";"3.46";"12154";"53474";"11368";"8350";"3018";"25703";"."
"1998 March";"935000";"4.50";"3.41";"13464";"57734";"14062";"9700";"4362";"29894";"."
