freq,dairyprod,milkitem,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,D1100A,PRO,AT	3413.00 	3424.60 	3524.88 	3568.90 	3659.96 	3747.78 	3859.99 	3820.04 	3852.26 	3867.49 
A,D1100A,PRO,BE	3116.00 	3529.00 	3710.00 	3826.00 	3959.00 	4094.00 	4236.00 	4337.00 	4494.00 	4477.27 
A,D1100A,PRO,BG	1241.00 	1306.00 	1231.00 	1152.60 	1148.66 	1091.47 	1025.20 	939.50 	1005.45 	953.07 
A,D1100A,PRO,CH	: 	: 	0.00 	: 	: 	: 	: 	3376.27 	3382.28 	: 
A,D1100A,PRO,CY	: c	205.83 	212.91 	214.09 p	237.65 	279.02 	294.64 	310.35 	347.41 	382.70 
A,D1100A,PRO,CZ	2814.68 	2849.48 e	2933.69 	3026.53 	3065.27 	3079.29 	3161.64 	3155.97 	3268.14 	3310.56 
A,D1100A,PRO,DE	: c	31337.85 	32394.97 	32684.57 	32687.64 	32614.17 	33109.66 	33102.57 	33188.89 	32531.56 
A,D1100A,PRO,DK	5006.40 	5081.80 	5162.00 	5335.70 	5435.70 	5502.20 	5615.20 	5615.00 	5666.00 	5644.00 
A,D1100A,PRO,EE	721.20 	772.00 	805.20 	783.20 	783.20 	790.60 	797.60 	821.50 	849.00 	839.40 
A,D1100A,PRO,EL	1833.90 	1817.20 	1892.00 	1915.00 	1897.00 	1807.00 	1844.90 	1959.44 	1990.33 	2027.73 
A,D1100A,PRO,ES	7537.73 	7630.94 	7853.72 p	8105.07 p	8218.49 p	8300.55 p	8417.53 p	8559.68 	8686.22 p	8702.59 p
A,D1100A,PRO,EU27_2020	: c	145083.40 	149749.13 	152657.84 p	153894.72 p	155218.80 p	156739.49 p	158282.61 p	160281.96 p	: 
A,D1100A,PRO,EU28	: c	159026.40 	164837.13 	168114.84 p	168832.72 p	170661.80 p	172227.60 p	174013.61 p	: 	: 
A,D1100A,PRO,FI	2296.68 	2327.80 	2400.01 	2436.76 	2429.59 	2405.76 	2397.88 	2374.36 	2406.52 	: 
A,D1100A,PRO,FR	25629.81 	25329.13 	26602.50 	26712.84 	26065.89 	26006.31 	26022.50 	26036.29 	26288.53 	25834.80 p
A,D1100A,PRO,HR	828.00 	739.00 	728.00 	707.00 	689.00 	668.00 	634.00 	615.00 	612.00 	570.00 
A,D1100A,PRO,HU	1818.48 	1778.14 	1880.95 	1946.65 	1923.80 	1972.99 	1953.76 	1967.37 	2019.00 	2085.00 
A,D1100A,PRO,IE	5399.30 	5600.70 	5821.30 	6604.41 	6871.94 	7498.94 	7831.25 	8244.87 	8561.47 	9039.99 
A,D1100A,PRO,IT	12253.85 	12039.94 	12217.34 	12191.94 	12669.59 	12983.23 	13131.64 	13300.10 	13509.51 	13997.97 
A,D1100A,PRO,LT	1778.08 	1723.07 	1795.07 	1738.52 	1627.68 	1570.71 	1571.84 	1551.14 	1491.67 	1476.89 
A,D1100A,PRO,LU	: c	298.92 	319.83 	349.37 	379.42 	390.44 	410.90 	424.23 	450.54 	446.67 
A,D1100A,PRO,LV	873.80 	915.10 	971.80 p	978.10 	986.20 	1000.10 	982.90 	981.40 	990.10 	992.22 
A,D1100A,PRO,ME	163.22 	186.42 	191.80 	183.09 	180.55 p	181.40 p	181.50 p	178.00 p	: 	: 
A,D1100A,PRO,MK	: 	: 	: 	: 	477.35 	462.22 	478.47 	456.14 	461.14 	389.21 
A,D1100A,PRO,MT	: c	43.50 	45.25 	44.21 	45.64 	41.88 	43.23 	44.12 	44.94 	42.32 
A,D1100A,PRO,NL	12098.28 	12639.64 	12904.51 	13783.85 	14825.00 	14822.00 	14426.00 	14944.00 	14932.00 	14607.88 
A,D1100A,PRO,NO	: 	: 	: 	: 	: 	0.00 	707.50 	: 	: 	: 
A,D1100A,PRO,PL	12685.00 	12735.00 	13002.00 	13252.89 	13251.56 	13702.38 	14179.21 	14511.49 	14830.87 	14890.27 
A,D1100A,PRO,PT	2043.80 	1951.17 	2043.57 	2114.21 	2020.65 	2020.76 	2040.29 	2081.88 	2099.13 	2100.19 
A,D1100A,PRO,RO	4551.00 	4619.00 	4804.00 	4676.60 	4585.70 	4439.20 	4443.30 	4339.60 	4362.50 	4299.70 
A,D1100A,PRO,RS	: 	: 	1596.18 	1610.82 	1603.74 	1599.26 	1590.01 	1597.04 	1583.74 	1563.48 
A,D1100A,PRO,SE	2861.17 	2869.58 	2931.65 	2933.16 	2862.23 	2816.66 	2760.23 	2704.39 	2772.74 	2782.22 
A,D1100A,PRO,SI	622.60 	596.91 	618.53 	633.82 	651.40 	649.96 	631.22 	625.64 	633.20 	642.94 
A,D1100A,PRO,SK	942.61 	922.11 	942.45 	941.86 	916.88 	923.40 	917.00 	915.70 	929.54 	914.41 
A,D1100A,PRO,UK	13857.00 	13943.00 	15088.00 	15457.00 p	14938.00 	15443.00 	15488.11 	15731.00 	: 	: 
A,D1100A,PRO,XK	: 	: 	: 	: 	: 	365.09 	334.31 	: 	: 	: 
