date,rain,mintp,maxtp,soil,milk,fat,pro,year,month
2012-01-01,3.0354838709677416,4.877419354838709,9.600000000000001,6.917741935483871,133.3,3.98,3.25,2012,January
2012-02-01,1.4620689655172414,5.368965517241379,9.46896551724138,7.25948275862069,236.6,4.06,3.24,2012,February
2012-03-01,0.7645161290322581,5.27741935483871,11.412903225806453,8.621774193548386,473.0,3.99,3.22,2012,March
2012-04-01,2.753333333333333,3.57,10.55,8.260833333333334,637.3,3.81,3.32,2012,April
2012-05-01,2.351612903225807,7.406451612903226,13.538709677419355,11.976612903225806,735.0,3.75,3.34,2012,May
2012-06-01,7.61,9.516666666666667,15.376666666666667,14.200833333333332,684.3,3.76,3.33,2012,June
2012-07-01,3.641935483870968,10.693548387096774,16.983870967741936,15.718548387096773,609.8,3.85,3.25,2012,July
2012-08-01,6.006451612903225,12.080645161290322,17.90967741935484,15.655645161290321,546.8,3.94,3.34,2012,August
2012-09-01,0.77,9.056666666666667,16.113333333333333,13.9975,446.6,4.13,3.53,2012,September
2012-10-01,3.229032258064516,6.409677419354839,12.03225806451613,10.087903225806452,364.2,4.34,3.72,2012,October
2012-11-01,3.893333333333333,3.7333333333333334,9.213333333333333,6.740833333333333,227.6,4.38,3.61,2012,November
2012-12-01,4.683870967741935,3.896774193548387,9.003225806451614,5.914516129032258,138.0,4.14,3.37,2012,December
2013-01-01,5.129032258064516,3.638709677419355,8.287096774193548,5.755645161290323,125.5,4.0,3.26,2013,January
2013-02-01,1.8464285714285715,2.5535714285714284,7.553571428571429,5.045535714285714,222.9,4.03,3.25,2013,February
2013-03-01,4.351612903225806,1.9193548387096775,6.670967741935484,4.895967741935484,468.1,3.97,3.18,2013,March
2013-04-01,3.24,4.14,10.633333333333333,7.795833333333333,568.7,3.86,3.19,2013,April
2013-05-01,2.07741935483871,6.567741935483871,13.438709677419356,11.600806451612904,733.2,3.66,3.32,2013,May
2013-06-01,3.88,9.646666666666667,17.266666666666666,15.771666666666667,700.9,3.71,3.36,2013,June
2013-07-01,2.1774193548387095,13.303225806451612,21.338709677419356,19.413709677419355,652.7,3.73,3.31,2013,July
2013-08-01,1.664516129032258,11.683870967741935,19.003225806451614,17.18951612903226,592.7,3.92,3.39,2013,August
2013-09-01,1.43,10.433333333333334,16.61,14.758333333333333,498.5,4.16,3.62,2013,September
2013-10-01,5.9,9.19032258064516,14.674193548387096,12.306451612903226,418.3,4.4,3.77,2013,October
2013-11-01,2.14,3.953333333333333,9.376666666666667,6.866666666666666,276.4,4.48,3.72,2013,November
2013-12-01,6.819354838709677,3.545161290322581,9.22258064516129,6.234677419354839,164.8,4.26,3.47,2013,December
2014-01-01,6.464516129032258,2.609677419354839,8.480645161290322,4.967741935483871,132.0,4.11,3.3,2014,January
